id,title,text,author,language,keywords
1,ارزیابی میزان آمادگی مدارس ابتدایی شهر تهران برای استقرار مدیریت مدرسه محور,"این مقاله می کوشد با ارایه مدلی جامع از مولفه های مدیریت مدرسه محوری, میزان آمادگی مدارس ابتدایی شهر تهران را برای استقرار این مفهوم, بررسی کند. جامعه آماری این پژوهش, معلمان و مدیران مدارس ابتدایی شهر تهران هستند و از روش نمونه گیری طبقه ای مرحله ای برای انتخاب نمونه پژوهش استفاده شده است. همچنین از پرسشنامه محقق ساخته برای گردآوری داده ها استفاده شده است. نتایج پژوهش نشان می دهد که میزان آمادگی مدارس ابتدایی شهر تهران برای ایجاد ساختار غیرمتمرکز, مشارکت در امور مدارس, پذیرش قدرت و اختیار, بومی سازی و انعطاف پذیری برنامه ها, وجود نیروهای متخصص و حرفه ای, مسوولیت پذیری و پاسخگویی از دیدگاه مدیران و معلمان, به میزان زیادی مطلوب ارزیابی می شود. در حالیکه میزان آمادگی برای تامین بودجه مورد نیاز توسط خود مدرسه, نسبتا مطلوب ارزیابی شده است. شایان ذکر است که این اولین پژوهشی است, که میزان آمادگی مدارس را برای استقرار مدیریت مدرسه محوری از دیدگاه دو گروه مدیران و معلمان ارزیابی کرده است.",فرنوش اعلامی,Persian,ارزیابی، مدارس ابتدایی، مدیریت مدرسه محور
2,بررسی تحولات رشته مدیریت آموزشی: یک مطالعه کیفی,"هدف این پژوهش بررسی تحولات رشته مدیریت آموزشی بود. میدان تحقیق اعضای هیات علمی رشته مدیریت آموزشیست که پس از مصاحبه با 10 نفر اشباع نظری حاصل گردید. روش تحقیق کیفی و از نوع پدیدار شناسی و ابزار جمع آوری داده ها, مصاحبه نیمه ساختاریافته بود و روش تحلیل داده ها تحلیل مضمون می باشد. حاصل آن شناسایی 227 مفهوم اولیه, 45 مضمون و 25 کد اصلی است. یافته های تحقیق در حوزه ضعف ها و چالش ها بر نبود سند چشم انداز و بیانیه ماموریت جامع و یکپارچه رشته مدیریت آموزشی در آموزش عالی, ضعف در ساختار, محتوا و روش های این رشته, آینده شغلی نامعلوم دانش آموختگان در حوزه آموزش و پرورش, رشته های جدید و مشابه به عنوان رقیب و نبود تعامل و مشارکت فعالانه بین وزارت علوم و آموزش و پرورش و وزارت علوم برای بهره گیری از ظرفیتهای رشته مدیریت آموزشی اشاره دارد. نقاط قوت و فرصتها نیز بر ماهیت میان رشته ای, کاربردی بودن و جامعیت این رشته و فرصتهای کار آفرینی و مطالعاتی فراوان در این حوزه دلالت می نماید. لذا تعداد 18 راهبرد شامل راهبرد های SO (تهاجمی) راهبردهای WO (انطباقی), راهبردهای ST (اقتضایی) و راهبردهای WT(دفاعی) تعیین گردید.",فرنوش اعلامی,Persian,تحولات رشته مدیریت آموزشی نقاط قوت و ضعف فرصت ها و تهدیدها 
3,بررسی چالش های آموزشی ، پژوهشی و سازمانیِ اعضای هیأت علمی تازه‌کار دانشگاه قندهار افغانستان,پژوهش حاضر با هدف شناسایی و بررسی چالش‌های آموزشی، پژوهشی و سازمانی اعضای هیأت علمی تازه‌کار کشور افغانستان در تطابق با معیاری های نوین آموزش و پژوهش از دیدگاه صاحب نظران به روش آمیخته اکتشافی (کمی و کیفی) انجام شده است. در بخش کیفی تحقیق حاضر مشارکت کنندگان شامل 33 تن از خبرگان، صاحب نظران، استادان دانشگاه‌ها، رییس و معاونان دانشگاه و استادان تازه‌کار به صورت هدفمند برای انجام مصاحبه انتخاب شد. در بخش کمی جامعه آماری پژوهش حاضر شامل استادان تازه‌کار دانشگاه قندهار است که کمتر از۱۰سال سابقه کار داشته باشند. حجم جامعه آماری در بخش کمی مشتمل بر 190 نفر استاد تازه‌کاراست. نمونه گیری نیز براساس جدول مورگان برابر با 122 نفر تعیین شد. جمع آوری داده ها در مرحله نخست با ابزار مصاحبه نیمه ساختار یافته و به روش تحلیل محتوا، بررسی پاسخ به سوالات مصاحبه و تحلیل اسناد انجام شد؛ در بررسی اسناد تمامی اسناد موجود در زمینه موضوع پژوهش که پژوهشگر به آن دسترسی داشت، مورد بررسی قرار داد و با استفاده از تحلیل محتوا، محتوای مورد نیاز استخراج و استفاده شد. در مرحله دوم پس از تدوین پرسشنامه بر اساس نظرات مصاحبه شوندگان در سطح دانشگاه قندهار انجام شد. همچنین پایایی پرسشنامه به کمک آزمون آلفا کرونباخ، 895/0 برآورد گردید. پس از گردآوری داده ها با استفاده از نرم افزار SPSS 26 داده‌ها با استفاده از آزمون رتبه‌بندی فریدمن مورد بررسی قرار گرفته و در هر سطح آموزشی، پژوهشی و سازمانی، بر اساس نظرات نمونه آماری حاضر در پژوهش، مهم‌ترین چالش ها بدست امده و چالش‌های پیش رو رتبه‌بندی شدند. مقایسه میانگین رتبه ها نشان می ‌دهد که بالاترین میانگین رتبه (84/2) به ویژگی چالش‌های سازمانی اختصاص دارد و بدین معناست که مهم ‌‌ترین چالش اساتید استادان تازه‌کار، چالش سازمانی است. بعد از این چالش، مهم ‌‌ترین چالش اساتید به ترتیب شامل چالش‌های پژوهشی و چالش‌های آموزشی می‌‌ باشد.,فرنوش اعلامی,Persian,چالش­های آموزشی  چالش‌های پژوهشی  چالش‌های سازمانی  اعضای هیأت علمی تازه‌کار  دانشگاه قندهار
4,توسعه زیست بوم کارآفرینی دانشجویی با رویکرد آزمایشگاه زنده,"امروزه استقرار و توسعه زیست بوم کارآفرینی دانشجویی به نوان یکی از مهمترین عوامل زمین های, در تبدیل دانشجویان به کارآفرینان آینده, در رأس توجه دانشگاهها و مؤسسات آموزش عالی قرارگرفته است. علیرغم اهمیت این مفهوم در سپهر کارآفرینی کشور, کمتر پژوهشی در کشورمان به این موضوع پرداخته است. بدین منظور در پژوهش حاضر, نخست ازطریق مصاحبه با افراد صاحب نظر و به کارگیری روش تحلیل مضمون, اجزا و ابعاد زیست بوم کارآفرینی دانشجویی شناسایی شده, سپس با استفاده از روش آزمایشگاه زنده و به عنوان یک مطالعه موردی, رویداد نوآ در دانشگاه شهید بهشتی به عنوان رویداد استارتاپی طی چهار فاز )چشم انداز, طراحی اولیه, ارزیابی, انتشار و تصویب( مورد بررسی قرار گرفت. در این رویداد ایده های دانشجویان و اعضای هیات علمی دانشگاه جنبه عملیات کاربردی پیدا کرد, ایده ها از حالت ذهنی به صورت عملیاتی درآمدند. در این رویداد تلاش شد تا بستری برای رقابت در یک فضای سالم بین شرکت کنندگان ایجاد شود و همچنین فرصت عملیاتی سازی طرح و ورود به بازار این حوزه را برای آنها فراهم شود. همچنین شبکه سازی و ایجاد ارتباط میان شرکت کنندگان و فعالین حوزه های فرهنگی و اجتماعی, رشد و پرورش خلاقیت و نوآوری دانشجویان در این حوزه ها, تبدیل ایده های فرهنگی-اجتماعی به یک محصول, حمایت مالی و معنوی ایده ها, دستیابی به راه حلهای مؤثر برای مشکلات فرهنگی و اجتماعی در حوزه کارآفرینی دانشجویی از اهداف اساسی برگزاری این رویداد محسوب می شود. همچنین تلاش شد تا وضعیت کارآفرینی دانشجویی در دانشگاه بهشتی ازطریق تقویت زیس تبوم کارآفرینی دانشجویی بهبود یابد.",فرنوش اعلامی,Persian,زیست بوم کارآفرینی کارآفرینی دانشجویی استارتاپ رویداد نوآوری آزمایشگاه زنده 
5,تحلیل عوامل دلبستگی شغلی کارکنان دانشگاه شهید بهشتی و میزان وفاداری آن ها به دانشگاه,تحليل عوامل دلبستگي شغلي کارکنان دانشگاه شهيد بهشتي و ميزان وفاداري آن ها به دانشگاه  University تاريخ دريافت مقاله : ٩٧/٠٥/٢٣، تاريخ دريافت نسخه نهايي: ٩٧/٠٧/٢١، تاريخ پذيرش مقاله : ٩٧/١٠/٠٢ فرنوش اعلامي ١ و حامدحسينيضرابي 2 چکيده هدف اصلي ايـن پـژوهش بررسـي ميـزان دلبسـتگي شـغلي کارکنان دانشگاه شهيد بهشتي و ميـزان اهميـت هـر يـک از مولفه هاي دلبستگي شـغلي از ديـدگاه کارکنـان اسـت . دلبستگي کارکنان از جمله متغيرهايي است کـه بـا ايجـاد آن در کارکنـان ، مـيتـوان شـاهد پيامدهاي مثبت براي سازمان بود و پژوهش هاي متعددي ايـن پيامـدهاي مثبـت سـازماني را در حوزه هاي مختلفي مانند عملکرد بالاتر کارکنان ، وفاداري کارکنان ، نرخ جابجـايي کمتـر و ميـزان غيبت کمتر مشاهده کرده اند (ساکس ، ٢٠٠٦؛ کريستين ، گارزا و اسلاتر٥، ٢٠١١؛ اوبويل و هارتر، 6 ٢٠١٣) براي مثال ، لاولر(١٩٨٦) معتقد است سطوح بالاي دلبسـتگي کارکنـان منجـر بـه فعـال کردن انگيزش کارکنان ميشود و يک اصل اساسي بـراي ايجـاد توسـعه رقابـت در کسـب و کـار مدنظر قرار گرفته است ؛ زيرا افراد تمايل دارند بيشتر به صورت ذهني و روان شناختي در کار خود سرمايه گذاري کنند (يارمحمدزاده و فيضي، ١٣٩٤). ١٤٢ فصلنامه مشاوره شغلي و سازماني/ دوره ١١، شماره ٣٩/ تابستان ١٣٩٨ ٥) آيا رابطه معناداري بين سابقه خدمت و تحصيلات کارکنان دانشگاه با دلبسـتگي شـغلي آنـان وجود دارد؟ روش پژوهش پژوهش حاضر از نوع تحقيقات کـاربردي اسـت و بـا توجـه بـه ماهيـت مسـئله توصـيفي از نـوع همبستگي است . ,فرنوش اعلامی,Persian,دلبستگی کارکنان  وفاداری سازمانی  دانشگاه شهید بهشتی
6,Lived experience of university startup teams,"Aim and Introduction: Where, according to the World Entrepreneurship Watch, the situation of entrepreneurship education in Iranian schools and universities has improved in some years, but Iran's score is still lower than the world average, it was necessary to conduct research to Facilitated the development of entrepreneurship in the country's educational system in quantitative and qualitative dimensions. On the other hand, with the globalization process, socio-economic, political and health conditions have changed and universities need a system that teaches and promotes creativity and entrepreneurship and innovation to students and faculty members, which is one of the projects in the university. Shahid Beheshti got off, the plan is new. The NOA project is held annually with the aim of motivating, increasing, educating and advising innovators and entrepreneurs to create knowledge-based and creative companies in the innovation centers of the faculties and research institutes of Shahid Beheshti University. 580 ideas were received from all over the country. 128 teams entered the Nova pre-acceleration course. 4 workshops on entrepreneurship ecosystem, presentation skills to attract capital, zero to one hundred entrepreneurship and business model canvas were held. Mentoring sessions in two sections of specialized mentoring and business mentoring were held for 155 hours for teams out of 128 teams, 78 teams reached the initial monitoring stage, and finally 26 teams were reached by the Admission and Evaluation Committee of the Science and Technology Park and the head of the relevant innovation center. Found. In this study, the life experience of the participants in the NOA project was examined and the results about the components of failure, success and their understanding of the project were expressed. Methodology: The method used in this study is qualitative and phenomenology was used to receive the lived experience of the participants in the NOA project and the tool used was interview. Participants in the study included participants in Shahid Beheshti University NOW project who reached the final stage or were not selected in the final test, which was obtained after interviews with 10 theoretical saturation teams. Content analysis method was used for data analysis. In total, 10 teams agreed to conduct the interviews, following the theoretical saturation Findings: In total, observing the theoretical saturation, 10 teams agreed to conduct the interviews. Regarding the components of failure, from the participants' point of view, 7 core codes and 3 selective codes were obtained from the interview analysis. Participants believed that weakness in time management; Poor refereeing and poor consulting services have been one of the reasons for their failure in the NOVA plan The components of success from the participants 'point of view included two selection codes and a central code, which in general included the components of effective communication and presenting strong plans, and finally the codes obtained from the participants' understanding of the new plan show that they are this plan. As a factor to motivate and link the connection between the university and the community Discussion and Conclusion: Participants in the Nova project appear to have identified poor time management, mentoring and refereeing services as factors that have led to their failure in the project. Some participants admitted that they had not received enough training to participate in the project. Although the university has held business and specialized mentoring sessions in this regard, it has sometimes been small or at an introductory level for start-ups. On the other hand, weakness in time management has been one of the important factors in their failure. Because the project began during the Corona pandemic period and it was sometimes difficult to hold face-to-face meetings, team members have not been able to hold face-to-face meetings with each other as they should. Some participants also considered the short period of the project and its early completion as an obstacle to planning. Another factor that hindered the success of the teams was the lack of knowledge of the referees. Since this plan included the entire university and various disciplines, the provision of mentoring services and subsequent judging was not defined according to the discipline and expertise of each startup, which has weakened the provision of these services. On the other hand, those who succeeded in presenting their plan at the end acknowledged that team building was one of the factors in their success. The team members complemented each other and each specialized in a subject. Other factors that have contributed to the success of the teams are the motivation and intention they pursue to become entrepreneurs. Startup  University  Nova Plan  Shahid Beheshti University",فرنوش اعلامی,En,دانشگاه استارتاپ نوا طرح دانشگاه شهید بهشتی
7,شناسایی ابعاد و مؤلفه های کلیدی اشتغال پذیری دانش آموختگان کارشناسیِ دوره های علوم رفتاری دانشگاه,هدف کلی پژوهش شناسایی مؤلفه ­های فرعی و اصلی اشتغال­ پذیری دانش ­آموختگان از دیدگاه استادان، کارفرمایان و صاحبنظران حوزه اشتغال برای مقطع کارشناسیِ دوره ­های علوم رفتاری در دانشگاه­ شهید بهشتی بود. پژوهش حاضر از نوع تحقیق­ کیفی محسوب می‌شود. مشارکت کنندگان در این پژوهش اعضای هیئت علمی، کارفرمایان و متخصصان حوزه اشتغال بودند. روش نمونه­ گیری در تحقیق کیفی، نمونه ­گیری هدفمند از نوع نمونه­ گیری نظری بود. از میان شرکت ­کنندگان در مصاحبه 15 نفر از صاحبنظران آموزش عالی و 12 نفر از کارفرمایان و مسئولان مرتبط با اشتغال بودند. تحلیل اولین مصاحبه با کدگذاری باز آغاز شد و درنهایت، در مصاحبه 27 به اشباع نظری رسید. به ­منظور جمع ­آوری داده­ ها از ابزار مصاحبه استفاده و سؤالات مصاحبه به­ صورت نیمه ساختاریافته طراحی شد. روایی محتوایی مصاحبه­ ها را 5 نفر از صاحبنظران آموزش عالی بررسی و تأیید کردند. برای تعیین صحت و اعتبار داده ­ها از سه معیار مقبولیت، قابلیت اطمینان و تأییدپذیری استفاده شد. داده­ های حاصل از پژوهش با روش تحلیل مضمون تجزیه و تحلیل شدند. درمجموع، 94 مضمون مرتبط با اشتغال ­پذیری شناسایی و در 15 مؤلفه فرعی و چهار مؤلفه اصلی شایستگی ­های فردی، شایستگی ­های حرفه‌ای، شایستگی­ های فرهنگی و شایستگی‌های اجتماعی دسته­ بندی شد. دانش و مهارت­ های عملی آکادمیک در رأس مؤلفه ­های اشتغال پذیری شناخته شد.,فرنوش اعلامی,Persian,اشتغال پذیری  دانش آموختگان  کارشناسی  علوم رفتاری  دانشگاه شهید بهشتی
8,The effect of technology-based entrepreneurship education on empowering the entrepreneurial spirit of elementary students (Case study: sixth graders),"This study aimed to investigate the effect of technology-based entrepreneurship education on empowering the entrepreneurial spirit of sixth graders. The applied research and quasi-experimental methods were used with an experimental and a control group. The statistical population included sixty 12-year-old sixth graders in the city of Karaj. A sixth-grade work and technology lesson plan was presented for one month as the research tool. The standard Bahramzadeh et al. Entrepreneurship Spirit Questionnaire (2009) was used as a measurement tool. Content analysis was performed to determine content validity, and Cronbach's alpha coefficient was used to determine reliability. Data were analyzed using descriptive and inferential analyses in SPSS software. The findings show that technology-based entrepreneurship education has a positive and significant effect on the entrepreneurial spirit of sixth graders. Recent years have witnessed a range of obstacles in the business sector in Iran, which created new challenges for the national economy. Crossing this hurdle requires the adoption of new approaches and innovative methods. Entrepreneurship and entrepreneurs have a defining role in this situation. Hence, economists have defined entrepreneurship as the economic growth engine. Entrepreneurship is the main driving force behind creativity, innovation, participation, and risk-taking. Entrepreneurship is one of the least costly tools yielding the best results and maximum efficiency for the economic development of society. It is therefore particularly important to provide the required social context for this purpose. In today's everchanging world, a successful society is one that establishes a significant relationship between scarce resources and managerial capabilities through its entrepreneurial human resource strategy (Toghraei et al., 2019). The importance of entrepreneurship in the economic growth and development of countries is confirmed as an inevitable fact which needs to be addressed by the education system. In a world where the scale of change has been transformed from century to seconds, the most important principle for organizations is development and survival. Our schools must foster brave students who rely on their own efforts and inner strengths without being afraid of failure and use this as a bridge to success (Arthur & Hisrich). Entrepreneurship is a mindset and insight. The aim of teaching entrepreneurship to children in elementary school is not to create a new instrument or start a business. Rather, it aims to remove any barriers which may reduce the motivational potentials of entrepreneurs. Hence, the aim of the present study was to investigate the effect of technology-based entrepreneurship education on empowering the entrepreneurial spirit of sixth graders. Methodology This experimental research recruited students from the statistical population of 12-year-old sixth graders studying in the city of Karaj in 2021. Convenience sampling was used to select 60 individuals who were divided into an experimental and a control group of 30 each. Next, the entrepreneurial spirit variable was measured in both groups as a pre-test using the standard Bahramzadeh et al. Entrepreneurship Spirit Questionnaire (2009). Then, the experimental group underwent entrepreneurship training online for one month (two sessions of 40 minutes per week). The control group had no training program during this period. After completing the virtual entrepreneurship training, the Entrepreneurship Spirit Questionnaire was distributed again in both the experimental and control groups and the variable was re-evaluated. The effect of technology-based entrepreneurship education on empowering the entrepreneurial spirit of sixth graders was then examined by studying the different answers given. Data were collected using the standard Bahramzadeh et al. Entrepreneurship Spirit Questionnaire (2009). This questionnaire includes six domains of creativity, motivation for progress, self-esteem, monitoring source, risk-taking, and foresight. In this research, a technology-based protocol was used, which is an adaptation of global entrepreneurship packages, lesson plans, and sixth grade work and technology lessons. It is noteworthy that the protocol was taught on shad.ir. Based on the descriptive findings in Table 3, the mean scores for the experimental and control groups were not significantly different at pre-test. Meanwhile, post-test revealed a significant change in the mean score for experimental group, which persisted through the follow-up. Shapiro-Wilk test revealed the obtained values for the tests in one group were not significant at 0.05, therefore, the intra-group variances were equal and data were normally distributed. Levene’s test was used to evaluate the homogeneity of intra-group variances. The homogeneity of covariances of pre-test scores in the two groups was investigated using Levene’s test. Given that the value of F in Levene’s test was not significant at α = 0.05, the assumption of homogeneity of data covariance and regression slope is established. Since the value of F calculated in group interaction and pre-test was not significant at 0.05 (P>0 0.05), the data support the hypothesis of homogeneity of regression slopes. The hypothesis is confirmed and the analysis of covariance (ANCOVA) can be performed. Based on the findings of inferential statistics (ANCOVA for each component), technology-based entrepreneurship education significantly affected empowering the entrepreneurial spirit of sixth graders. Discussion and conclusion Considering the overall findings of the research, technology-based entrepreneurship education in elementary school not only familiarizes children with the basic concepts of entrepreneurship at an early age, it also has a positive effect on their creativity, motivation for progress, self-esteem, monitoring source, risk-taking, and foresight. Since these concepts play an important part in the success of individuals involved in entrepreneurship, they can form the initial structure of the entrepreneurial spirit in children. It is suggested that entrepreneurship be a part of students’ lifestyle and that the school curriculum play a creative and organizing role. The content must be relevant to practical work and real life, and set the stage for future experiences and practical learning. It must be noted that this study had some limitations. For instance, the protocol lasted only one month. Other limitations include failure to run random sampling, financial problems, and the unwillingness of some students.",فرنوش اعلامی,En,آموزش کارآفرینی دانش آموزان کلاس ششم کار و فناوری روحیه کارآفرینی
9,بررسی نقش برنامه‌های درسی رشته‌های علوم اجتماعی و رفتاری در پرورش قابلیت‌های عمومی کارآفرینی دانشجویان کارشناسی دانشگاه شهید بهشتی,"هدف پژوهش حاضر بررسی نقش برنامه‌­های درسی رشته­های علوم اجتماعی و رفتاری در پرورش قابلیت­‌های عمومی کارآفرینی دانشجویان دانشگاه شهید بهشتی است. این تحقیق به لحاظ هدف کاربردی و از لحاظ شیوۀ گردآوری داده‌­ها توصیفی_ پیمایشی و به­‌منظور گردآوری داده­‌های پژوهش از پرسشنامۀ محقق­‌ساخته استفاده شد که روایی صوری و محتوایی پرسشنامه با استفاده از نظر استادان متخصص در این حوزه تأیید شد و پایایی آن نیز با استفاده از ضریب آلفای کرانباخ 87/0 تأیید شد. جامعۀ آماری پژوهش، تمامی دانشجویان دانشگاه شهید بهشتی بودند که از میان آنان 220 نفر از طریق نمونه‌گیری تصادفی طبقه­‌ای انتخاب شدند. نتایج یافته‌ها حاکی از آن است که نقش برنامۀ درسی تربیت بدنی در دو مؤلفۀ "" قابلیت‌های فردی و فنی کارآفرینی"" به‌طور مطلوب و در مؤلفۀ پرورش ""قابلیت‌های مدیریتی"" به نسبت دو مؤلفۀ ""فردی و فنی"" کارآفرینی چندان مطلوب عمل نکرده است و نقش برنامۀ درسی روان­شناسی در مؤلفه "" قابلیت‌های مدیریتی کارآفرینی"" به‌طور مطلوب و در دو مؤلفۀ "" فردی و فنی"" به‌طور مطلوب عمل نکرده است و در بین دیگر رشته‌ها تفاوت چندانی در مطلوبیت نقش برنامۀ درسی در پرورش قابلیت‌های عمومی کارآفرینی که شامل "" قابلیت‌های فردی، مدیریتی و فنی"" می‌شود، مشاهده نشده است. ",فرنوش اعلامی,Persian,برنامۀ درسی؛ رشته‌های علوم اجتماعی و رفتاری؛ قابلیت‌های عمومی کارآفرینی؛ دانشگاه شهید بهشتی
10,تحلیل عملکرد مدیریت منابع انسانی در شناسایی و رفع نیازهای توسعه حرفه ای اعضای هیات علمی," پژوهش حاضر با اتخاذ رویکرد کمی و با بهره گیری از روش پیمایش, درصدد تحلیل عملکرد مدیریت منابع انسانی در شناسایی و رفع نیازهای توسعه حرفه ای اعضای هیات علمی بوده است. بدین منظور از میان 850 عضو هیات علمی دانشگاه شهید بهشتی تعداد270 عضو بعنوان حجم نمونه تعیین و در چارچوب نمونه گیری طبقه ای نسبی قرار گرفت. به منظور گردآوری داده ها از پرسشنامه محقق ساخته استفاده گردید. روایی پرسشنامه فوق به وسیله صاحب نظران امر مورد تایید و پایایی آن نیز با استفاده از ضریب آلفای کورنباخ. 89 محاسبه شد. ضمن آنکه داده ها در دو سطح آمار توصیفی و استنباطی مورد تجزیه و تحلیل واقع گردید. یافته های پژوهش حاکی از آن بود که میزان برخورداری اعضای هیات علمی از نیازهای توسعه حرفه ای پژوهشی, آموزشی, فردی, سازمانی و اخلاقی در سطح بالایی گزارش شده است, لیکن عملکرد مدیریت منابع انسانی تنها در رفع نیازهای توسعه حرفه ای آموزشی در حد مطلوب گزارش شده است و در رفع سایر نیازها در سطح نامطلوبی گزارش شده است. بنابراین شکاف اساسی میان نیازهای توسعه حرفه ای اعضای هیات علمی با عملکرد مدیریت منابع انسانی در رفع این نیازها قابل مشاهده است. چنین شکافی ضرورت تغییر و اصلاح رویه نظام مدیریت منابع انسانی در نیازسنجی و برنامه ریزی توسعه حرفه ای اعضای هیات علمی را یادآور می شود. ",فرنوش اعلامی,Persian,آموزش عالی مدیریت منابع انسانی آموزش و توسعه ی حرفه ای اعضای هیات علمی دانشگاه شهید بهشتی
